NatEmis	Datayear	Province	ProvinceCD	Official_Institution_Name	Status	Sector	Type_DoE	Phase_PED	Specialisation	Full Service School	EIDistrict	EICircuit	Owner_Land	Owner_Buildings	ExDept	Persal_PaypointNo	Persal_ComponentNo	ExamNo	ExamCentre	GIS_Longitude	GIS_Latitude	DMunName	LMunName	Ward_ID	SP_Code	SP_Name	Addressee	Township_Village	Suburb	Town_City	StreetAddress	PostalAddress	Telephone	Section21	Section21_Function	Quintile	NAS	NodalArea	Registration_Date	NoFeeSchool	Urban_Rural	Allocation	DemarcationFrom	DemarcationTo	OldNATEMIS	NewNATEMIS	Learners2024	Educators2024
200100051	2024	EC	2	NEWTOWN HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	AMATHOLE WEST	99	GOVERNMENT	PUBLIC	UNKNOWN			4311070	NEWTON HIGH SCHOOL - 4311070	-32.775791	26.618377	Amathole District Municipality	Raymond Mhlaba Local Municipality	99	21611003	Newtown	FESTER M	99	NEWTOWN	FORT BEAUFORT	Jasmin Street, 1,Newtown,Fort Beaufort,5720		0466451717	Yes	99	Q3	99	99	5/22/2015	Fee Charging	Urban	99	EC	EC	200100051	200100051	330	6
200100053	2024	EC	2	BEDFORD JUNIOR SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	AMATHOLE WEST	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	74121	74121	NOT APPLICABLE	NOT APPLICABLE	-32.68982	26.08895	Amathole District Municipality	Raymond Mhlaba Local Municipality	99	21702000	NONE	PETERSON D	99	GOODWIN PARK	BEDFORD	DE SILVA STREET, GOODWIN PARK, BEDFORD, 5780	P O BOX 68, BEDFORD, 5780	0469400289	Yes	99	Q3	99	99	1/1/1972	No Fee	Urban	99	EC	EC	200100053	200100053	551	16
200100063	2024	EC	2	HAPPY HOME ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	PRIVATE	PRIVATE	UNKNOWN			4342102	HAPPY HOME ACADEMY - 4342102	-33.945	25.60405	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	99	99	CHIRINGA T	99	SYDENHAM	PORT ELIZABETH	2 Gibaud Street Sydenham,Port Elizabeth,6213		0414511243	No	NONE	N/A	99	99	1/28/2015	Fee Charging	Urban	99	EC	EC	200100063	200100063	680	30
200100064	2024	EC	2	BETHELSDORP COMPREHENSIVE SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	184400	184400	4341005	BETHELSDORP COMPREHENSIVE SCHOOL - 4341005	-33.89321	25.53488	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27502010	Salt Lake	JACOBUS RG	99	SALT LAKE	GQEBERHA	FELCASS ROAD,SALT LAKE,BETHELSDORP, GQEBERHA,6059	P O BOX 17004, SALTVILLE, 6058	0414816263	Yes	99	Q3	99	99	1/1/1971	No Fee	Urban	99	EC	EC	200100064	200100064	1267	40
200100070	2024	EC	2	BLUELILIES BUSH PUBLIC JUNIOR SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	UNKNOWN	HOUSE OF REPRESENTATIVES(HOR)	224110	224110	NOT APPLICABLE	NOT APPLICABLE	-33.98183	23.9656	Cacadu District Municipality	Kouga Local Municipality	99	20909000	NONE	NYANDA M	99	WITELSBOS	HUMANSDORP	520 Basil February Street,Tsitsikamma,Nompumelelo Village,6307	P O BOX 68, WITELSBOS, 6308	0429400822	Yes	99	Q2	99	99	1/1/1932	No Fee	Rural	99	EC	EC	200100070	200100070	486	17
200100079	2024	EC	2	BOOYSEN PARK SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	184127	184127	4341006	BOOYSEN PARK SECONDARY SCHOOL - 4341006	-33.85774	25.46683	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27502004	Booysen Park	MARTINS IK	99	BOOYSENS PARK	GQEBERHA	WILLIAM SLAMMERT DRIVE,BOOYSENS PARK,GQEBERHA,6059	P O BOX 16183, GELVANDALE,	0736547534	Yes	99	Q3	99	99	1/1/1982	No Fee	Urban	99	EC	EC	200100079	200100079	1571	46
200100090	2024	EC	2	URBAN ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	PRIVATE	PRIVATE	UNKNOWN			4342100	URBAN ACADEMY - 4342100	-33.95547	25.61488	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	99	99	CRONJE C	99	CENTRAL	GQEBERHA	272 GOVAN MBEKI DRIVE,CENTRAL,GQEBERHA,6001		0415850881	No	NONE	N/A	99	99	1/28/2015	Fee Charging	Urban	99	EC	EC	200100090	200100090	1046	54
200100095	2024	EC	2	SOLID FOUNDATION ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	PRIVATE	PRIVATE	UNKNOWN			NOT APPLICABLE	NOT APPLICABLE	-33.77374	25.406256	Nelson Mandela Bay	Sundays River Valley Local Municipality	99	99	99	NOONAN I	99	CENTRAL	KARIEGA	STOW ROAD,CENTRAL,KARIEGA,6001		0877026116	No	NONE	N/A	99	99	1/28/2015	Fee Charging	Urban	99	EC	EC	200100095	200100095	151	8
200100102	2024	EC	2	CURRO WESTBROOK PRIVATE SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	PRIVATE	PRIVATE	UNKNOWN			NOT APPLICABLE	NOT APPLICABLE	-33.931949	25.490806	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	99	99	VAN DER WALT F	PARSONSVLEI	PARSONSVLEI	GQEBERHA	BURCHELL DRIVE,PARSONSVLEI,GQEBERHA,6025	P O Box 2436, DURBANVILLE, CAPE TOWN, 7551	0413966300	No	NONE	N/A	99	99	1/20/2016	Fee Charging	Urban	99	EC	EC	200100102	200100102	526	40
200100105	2024	EC	2	CAREL DU TOIT HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	84117	84117	4351005	CAREL DU TOIT HIGH SCHOOL - 4351005	-33.32816	24.34174	Cacadu District Municipality	Dr Beyers Naude Local Municipality	99	20702000	NONE	BILLETT EC	99	99	STEYTLERVILLE	Middleton Street,Steytlerville,6250	P O BOX 84, STEYTLERVILLE, 6250	0498350058	Yes	99	Q3	99	99	1/1/1985	No Fee	Urban	99	EC	EC	200100105	200100105	438	13
200100111	2024	EC	2	CHAPMAN SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	184134	184134	4341010	CHAPMAN HIGH SCHOOL - 4341010	-33.91869	25.55126	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516037	Jarman	ABRAHAMS W	99	GELVANDALE	GQEBERHA	BELL ROAD,GELVANDALE,GQEBERHA,6020	P O BOX 16358, GELVANDALE, 6020	0414525371	Yes	99	Q3	99	99	1/1/1978	No Fee	Urban	99	EC	EC	200100111	200100111	1346	38
200100114	2024	EC	2	CHATTY SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	184137	184137	4341011	CHATTY SENIOR SECONDARY SCHOOL - 4341011	-33.87063	25.50541	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27502000	NONE	CHAN-KING N	99	BLOEMENDAL	GQEBERHA	72 SCHOLTZ STREET,BLOEMENDAL,GQEBERHA,6059	P O BOX 17046, SALTVILLE, 6059	0414813434	Yes	99	Q3	99	99	1/1/1979	No Fee	Urban	99	EC	EC	200100114	200100114	1083	31
200100117	2024	EC	2	MORNINGSIDE HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	184286	184286	4341053	MORNINGSIDE HIGH SCHOOL - 4341053	-33.93541	25.50492	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516038	Kabega Park	THOMAS M-A (Act)	99	MORNINGSIDE	GQEBERHA	TOPAZ ROAD,MORNINGSIDE,GQEBERHA,6025	P O BOX 10022, LINTON GRANGE, 6025	UNKNOWN	Yes	99	Q4	99	99	1/1/1973	Fee Charging	Urban	99	EC	EC	200100117	200100117	971	34
200100118	2024	EC	2	CHUBEKILE SENIOR SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	DEPARTMENT OF EDUCATION AND TRAINING(DET)	184138	184138	4341012	CHUBEKILE SENIOR SECONDARY SCHOOL - 4341012	-33.87818	25.57184	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27508006	Kwazakele 3	TEMBANI SD	99	KWAZAKHELE	GQEBERHA	TUBALI STREET,KWAZAKHELE,GQEBERHA,6205	P.O BOX 22316, GOVEN MBEKI, PORT ELIZABETH, 6000	0414502729	Yes	99	Q3	99	99		No Fee	Urban	99	EC	EC	200100118	200100118	655	21
200100119	2024	EC	2	CINGANI HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	DEPARTMENT OF EDUCATION AND TRAINING(DET)	184140	184140	4341013	CINGANI HIGH SCHOOL - 4341013	-33.82161	25.58722	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27514000	NONE	SANDI MG	99	SWARTKOPS VALLEY	GQEBERHA	61 KABONQABA STREET,SWARTKOPSVALLEY,GQEBERHA,6211	PO BOX 299 , SWARTKOPS, PORT ELIZABETH, 6210	0414626056	Yes	99	Q3	99	99	1/1/1988	No Fee	Urban	99	EC	EC	200100119	200100119	1519	42
200100121	2024	EC	2	CLARKSON JUNIOR SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	224119	224119	NOT APPLICABLE	NOT APPLICABLE	-34.01033	24.34806	Cacadu District Municipality	Kouga Local Municipality	99	20906002	Humansdorp NU	BOOYSEN RCA	99	99	CLARKSON	Church Street,Clarkson,6302	CHURCH STREET, CLARKSON, 6302	0422820023	Yes	99	Q2	99	99	1/1/1960	No Fee	Rural	99	EC	EC	200100121	200100121	566	19
200100128	2024	EC	2	COLDSTREAM JUNIOR SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	UNKNOWN	HOUSE OF REPRESENTATIVES(HOR)	224120	224120	NOT APPLICABLE	NOT APPLICABLE	-33.96158	23.70172	Cacadu District Municipality	Kouga Local Municipality	99	20902000	NONE	PIETERSEN B	99	COLD STREAM	COLOSTREAM	Coldstream Primary,Puntjiesbos,Coldstream,6311	COLOSTREAM 6311	0422811727	Yes	99	Q3	99	99	1/1/1961	No Fee	Rural	99	EC	EC	200100128	200100128	290	9
200100131	2024	EC	2	COLLEGIATE GIRLS HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	184145	184145	4341014	COLLEGIATE GIRLS HIGH SCHOOL - 4341014	-33.94978	25.58993	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516059	Mount Road	ERASMUS L	99	PARSONS HILL	GQEBERHA	KESTELL STREET,PARSONS HILL,GQEBERHA,6001	KESTELL, PARSONS HILL, PORT ELIZABETH, 6057	0413737705	Yes	99	Q5	99	99	1/1/1965	Fee Charging	Urban	99	EC	EC	200100131	200100131	673	50
200100133	2024	EC	2	LINKSIDE HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	184448	184448	4341044	LINKSIDE HIGH SCHOOL - 4341044	-33.963	25.5792	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516053	Mill Park	GRAHAM HV	99	LINKSIDE	GQEBERHA	WYCHWOOD AVENUE,LINKSIDE,GQEBERHA,6001	P O BOX 27999, GREENACRES, 6057	0413737948	Yes	99	Q4	99	99	1/1/1973	Fee Charging	Urban	99	EC	EC	200100133	200100133	738	36
200100137	2024	EC	2	COSELELANI SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	NEW EDUCATION DEPARTMENT	184147	184147	4341015	COSELELANI SENIOR SECONDARY SCHOOL - 4341015	-33.80552	25.5727	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27514009	Motherwell 8	TSHANGANA L	99	MOTHERWELL	GQEBERHA	NGQOKWENI STREET,MOTHERWELL,GQEBERHA,6211	P O BOX 11, SWARTKOPS, 6000	0412050816	Yes	99	Q3	99	99	1/1/1994	No Fee	Urban	99	EC	EC	200100137	200100137	922	27
200100139	2024	EC	2	COWAN HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	DEPARTMENT OF EDUCATION AND TRAINING(DET)	184149	184149	4341016	COWAN HIGH SCHOOL - 4341016	-33.90385	25.59271	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27508011	New Brighton 1	NGCAYI QQ	99	NEW BRIGHTON	GQEBERHA	20 MADALA STREET,NEW BRIGHTON,GQEBERHA,6200	P O BOX 115, NEW BRIGHTON, 6200	0414543325	Yes	99	Q3	99	99	1/1/1946	No Fee	Urban	99	EC	EC	200100139	200100139	1392	39
200100151	2024	EC	2	DAVID LIVINGSTONE SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	184153	184153	4341018	DAVID LIVINGSTONE SENIOR SECONDARY - 4341018	-33.92979	25.56445	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516074	Schauderville	DRAAI JL	99	SCHAUDERVILLE	GQEBERHA	KOHLBERG STREET,SCHAUDERVILLE,GQEBERHA,6020	P O BOX 4212, KORSTEN, 6014	UNKNOWN	Yes	99	Q3	99	99	1/1/1966	No Fee	Urban	99	EC	EC	200100151	200100151	951	30
200100162	2024	EC	2	DESPATCH HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	224287	224287	4341031	HOERSKOOL DESPATCH - 4341031	-33.803	25.46432	Nelson Mandela Bay	Sundays River Valley Local Municipality	99	27506002	Bothasrus	SMIT JJ	99	BOTHASRUS	DESPATCH	Amperbo Street,Bothasrus,Despatch,6220	P.O. BOX 8, DESPATCH, 6220,	0419335104	Yes	99	Q5	99	99	1/1/1949	Fee Charging	Urban	99	EC	EC	200100162	200100162	922	37
200100165	2024	EC	2	DF MALHERBE HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	184160	184160	4341030	HOERSKOOL DF MALHERBE - 4341030	-33.97939	25.56341	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516095	Walmer	VOSLOO PL	99	WALMER	GQEBERHA	H/V MAIN ROAD & 14 AVENUE,WALMER,GQEBERHA,6065	POST BOX 5321, WALMER, PORT ELIZABETH, 6070	0415814373	Yes	99	Q5	99	99	1/1/1957	Fee Charging	Urban	99	EC	EC	200100165	200100165	858	38
200100171	2024	EC	2	DIOCESAN SCHOOL FOR GIRLS	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	PRIVATE	PRIVATE	CAPE EDUCATION DEPARTMENT(CED)			137	INDEPENDENT EXAMINATION BOARD GRAHAMSTOWN	-33.303725	26.520013	Cacadu District Municipality	Makana Local Municipality	99	20403000	NONE	de Villiers J	99	99	GRAHAMSTOWN	WORCESTER STREET, GRAHAMSTOWN, 6140	P O BOX 194, GRAHAMSTOWN, 6140	0466034300	No	NONE	N/A	99	99		Fee Charging	Urban	99	EC	EC	200100171	200100171	511	45
200100172	2024	EC	2	EL SHADDAI CHRISTIAN ACADEMY	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	PRIVATE	PRIVATE	UNKNOWN			NOT APPLICABLE	NOT APPLICABLE	-33.58652985	26.90498753	Cacadu District Municipality	Ndlambe Local Municipality	99	99	99	PAYNE RC	99	99	PORT ALFRED	Greenfountain Farm Resort, R72,Port Alfred,6170	P O BOX 2184, PORT ALFRED, 6170	0466243616	No	NONE	N/A	99	99	1/1/2006	Fee Charging	Urban	99	EC	EC	200100172	200100172	125	19
200100177	2024	EC	2	DOUGLAS MBOPA SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	DEPARTMENT OF EDUCATION AND TRAINING(DET)	184165	184165	4341019	DOUGLAS MBOPA SENIOR SECONDARY - 4341019	-33.79917	25.60844	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27514000	NONE	KEYE M	99	MOTHERWELL	GQEBERHA	1 MATANZIMA STREET ,NU 2, MOTHERWELL,GQEBERHA,6211	P.O. BOX 17 SWARTKOPS, PORT ELIZABETH, 6000	0414691135	Yes	99	Q3	99	99	1/1/1987	No Fee	Urban	99	EC	EC	200100177	200100177	1494	44
200100186	2024	EC	2	E Z KABANE HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	DEPARTMENT OF EDUCATION AND TRAINING(DET)	184170	184170	4341020	EZ KABANE HIGH SCHOOL - 4341020	-33.840992	25.532064	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27508002	Kwamagxaki	MUTHIGE SR	99	KWADWESI	GQEBERHA	7 MNQAYI STREET,KWADWESI,GQEBERHA,6201	P.O. BOX 43046, KWA-DWESI, PORT ELIZABETH, 6004	0414851577	Yes	99	Q3	99	99	1/1/1986	No Fee	Urban	99	EC	EC	200100186	200100186	846	22
