"course_name","specialization_name","field","career_paths"
"BCom Finance","Investment Management","Finance","Investment Analyst, Portfolio Manager"
"BCom Finance","Risk Management","Finance","Risk Manager, Compliance Officer"
"BCom Human Resources Management","Labour Relations","HR","Labour Relations Practitioner, Union Negotiator"
"BCom Human Resources Management","Organizational Development","HR","OD Specialist, Training Manager"
"BCom Marketing Management","Digital Marketing","Marketing","Digital Marketing Specialist, SEO Manager"
"BCom Marketing Management","Brand Management","Marketing","Brand Manager, Product Manager"
"BCom Supply Chain Management","Logistics Management","Logistics","Logistics Manager, Distribution Manager"
"BCom Supply Chain Management","Procurement","Logistics","Procurement Manager, Purchasing Officer"
"BSc Computer Science","Software Engineering","IT","Software Developer, Software Engineer"
"BSc Computer Science","Artificial Intelligence","IT","AI Specialist, Machine Learning Engineer"
"BSc Computer Science","Data Science","IT","Data Scientist, Data Analyst"
"BSc Computer Science","Cyber Security","IT","Cyber Security Analyst, Information Security Officer"
"BSc Information Technology","Network Management","IT","Network Administrator, Systems Administrator"
"BSc Information Technology","Database Systems","IT","Database Administrator, Data Manager"
"BSc Information Technology","Web Development","IT","Web Developer, Front-end Developer"
"BSc Software Engineering","Mobile Development","IT","Mobile App Developer, iOS/Android Developer"
"BSc Software Engineering","Enterprise Systems","IT","Enterprise Architect, Systems Analyst"
"MBChB (Medicine)","General Medicine","Medicine","General Practitioner, Medical Officer"
"MBChB (Medicine)","Surgery","Medicine","Surgeon, Surgical Registrar"
"MBChB (Medicine)","Pediatrics","Medicine","Pediatrician, Child Health Specialist"
"Bachelor of Nursing","General Nursing","Nursing","Registered Nurse, Ward Manager"
"Bachelor of Nursing","Community Nursing","Nursing","Community Health Nurse, Primary Care Nurse"
"Bachelor of Nursing","Midwifery","Nursing","Midwife, Labor Ward Nurse"
"BSc Physiotherapy","Sports Physiotherapy","Physiotherapy","Sports Physiotherapist, Team Therapist"
"BSc Physiotherapy","Orthopedics","Physiotherapy","Orthopedic Physiotherapist, Rehabilitation Specialist"
"BSc Occupational Therapy","Pediatrics","Occupational Therapy","Pediatric Occupational Therapist"
"BSc Occupational Therapy","Mental Health","Occupational Therapy","Mental Health Occupational Therapist"
"BSc Biomedical Sciences","Medical Microbiology","Biomedical Science","Medical Microbiologist, Lab Manager"
"BSc Biomedical Sciences","Clinical Pathology","Biomedical Science","Clinical Pathologist, Pathology Researcher"
"BSc Biotechnology","Industrial Biotechnology","Biotechnology","Biotech Researcher, Industrial Scientist"
"BSc Biotechnology","Medical Biotechnology","Biotechnology","Medical Researcher, Pharmaceutical Developer"
"BEng Civil Engineering","Structural Engineering","Engineering","Structural Engineer, Design Engineer"
"BEng Civil Engineering","Water Resources","Engineering","Water Engineer, Hydrologist"
"BEng Civil Engineering","Transportation","Engineering","Transportation Engineer, Traffic Engineer"
"BEng Electrical Engineering","Power Systems","Engineering","Power Engineer, Electrical Systems Designer"
"BEng Electrical Engineering","Electronics","Engineering","Electronics Engineer, Circuit Designer"
"BEng Mechanical Engineering","Automotive Engineering","Engineering","Automotive Engineer, Vehicle Designer"
"BEng Mechanical Engineering","Energy Systems","Engineering","Energy Engineer, Renewable Energy Specialist"
"BEng Chemical Engineering","Process Engineering","Engineering","Process Engineer, Plant Manager"
"BEng Chemical Engineering","Petrochemical","Engineering","Petrochemical Engineer, Refinery Engineer"
"BA Psychology","Clinical Psychology","Psychology","Clinical Psychologist, Therapist"
"BA Psychology","Counseling Psychology","Psychology","Counseling Psychologist, Mental Health Counselor"
"BA Psychology","Industrial Psychology","Psychology","Industrial Psychologist, HR Consultant"
"BA Social Work","Community Development","Social Work","Community Developer, Social Worker"
"BA Social Work","Child Protection","Social Work","Child Protection Officer, Social Worker"
"LLB (Law)","Corporate Law","Law","Corporate Lawyer, Legal Advisor"
"LLB (Law)","Human Rights Law","Law","Human Rights Lawyer, Advocacy Specialist"
"LLB (Law)","Criminal Law","Law","Criminal Lawyer, Prosecutor"
"BA Media Studies","Digital Media","Media","Digital Media Specialist, Content Creator"
"BA Media Studies","Broadcast Media","Media","Broadcast Journalist, TV Producer"
"Bachelor of Fine Arts","Painting","Arts","Painter, Art Teacher"
"Bachelor of Fine Arts","Sculpture","Arts","Sculptor, Installation Artist"
"Bachelor of Graphic Design","Digital Design","Design","Digital Designer, UI/UX Designer"
"Bachelor of Graphic Design","Branding","Design","Brand Designer, Identity Designer"
"Bachelor of Architecture","Sustainable Design","Architecture","Sustainable Architect, Green Building Consultant"
"Bachelor of Architecture","Urban Design","Architecture","Urban Designer, City Planner"
"BSc Quantity Surveying","Construction Economics","Construction","Quantity Surveyor, Cost Consultant"
"BSc Quantity Surveying","Project Management","Construction","Project Manager, Construction Manager"
"BSc Agriculture","Agribusiness Management","Agriculture","Agribusiness Manager, Farm Manager"
"BSc Agriculture","Crop Science","Agriculture","Crop Scientist, Agronomist"
"BSc Agriculture","Animal Science","Agriculture","Animal Scientist, Livestock Manager"
"BCom Hospitality Management","Hotel Management","Hospitality","Hotel Manager, Front Office Manager"
"BCom Hospitality Management","Event Management","Hospitality","Event Manager, Conference Coordinator"
"Bachelor of Culinary Arts","Professional Cookery","Culinary Arts","Chef, Sous Chef"
"Bachelor of Culinary Arts","Patisserie","Culinary Arts","Pastry Chef, Baker"
"BSc Computer Engineering","Hardware Engineering","Engineering","Hardware Engineer, Embedded Systems Engineer"
"BSc Computer Engineering","Network Engineering","Engineering","Network Engineer, Telecom Engineer"
"BSc Data Science","Machine Learning","Data Science","Machine Learning Engineer, AI Developer"
"BSc Data Science","Big Data Analytics","Data Science","Data Analyst, Business Intelligence Analyst"
"BSc Environmental Science","Conservation Biology","Environmental Science","Conservationist, Wildlife Manager"
"BSc Environmental Science","Pollution Control","Environmental Science","Environmental Consultant, Pollution Analyst"
"BA Tourism Management","Eco-Tourism","Tourism","Eco-Tourism Manager, Sustainable Tourism Consultant"
"BA Tourism Management","Heritage Tourism","Tourism","Heritage Site Manager, Cultural Tourism Officer"
"BSc Geology","Mining Geology","Geology","Mining Geologist, Exploration Geologist"
"BSc Geology","Environmental Geology","Geology","Environmental Geologist, Geotechnical Engineer"
"BA Languages","Translation and Interpretation","Languages","Translator, Interpreter"
"BA Languages","Linguistics","Languages","Linguist, Language Researcher"
"BSc Mathematics","Applied Mathematics","Mathematics","Applied Mathematician, Quantitative Analyst"
"BSc Mathematics","Pure Mathematics","Mathematics","Pure Mathematician, Mathematics Researcher"
"BSc Statistics","Biostatistics","Statistics","Biostatistician, Medical Researcher"
"BSc Statistics","Financial Statistics","Statistics","Financial Statistician, Risk Analyst"
